"Store No.","Name","Latitude","Longitude","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Updated Date","Country","Status","Direction URL","NAICS 1","NAICS 2","SIC 1","SIC 2","Stock Ticker"
"001.005.1727","Chili's Franklin","42.927081","-87.9503","6439 South 27th Street","Franklin","WI","53132","Milwaukee","414-761-5889","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/wisconsin/franklin/east-franklin","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/6439+South+27th+Street,+Franklin,+WI,+53132,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0946","Chili's Jacksonville","30.3203134","-81.4665342","12987 Atlantic Blvd","Jacksonville","FL","32225","Duval","904-220-2136","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 23:30 | saturday:- 11:00 - 23:30 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/florida/jacksonville/atlantic-beach","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/12987+Atlantic+Blvd,+Jacksonville,+FL,+32225,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1569","Chili's Uniontown","39.911805","-79.747849","10 New Salem Rd","Uniontown","PA","15401","Fayette","724-438-2713","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/pennsylvania/uniontown/uniontown","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/10+New+Salem+Rd,+Uniontown,+PA,+15401,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1128","Chili's Burlington","36.0686928","-79.5209651","1445 University Drive","Burlington","NC","27215","Alamance","336-538-2531","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/north-carolina/burlington/uc-burlington","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1445+University+Drive,+Burlington,+NC,+27215,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0675","Chili's Las Vegas","36.1584875","-115.2930262","9051 W Charleston Blvd","Las Vegas","NV","89117","Clark","702-228-0479","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/nevada/las-vegas/ft-apache","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/9051+W+Charleston+Blvd,+Las+Vegas,+NV,+89117,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1689","Chili's Laveen","33.378165","-112.188176","5990 W Baseline Rd","Laveen","AZ","85339","Maricopa","602-761-9530","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/arizona/laveen/laveen","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/5990+W+Baseline+Rd,+Laveen,+AZ,+85339,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0405","Chili's Mcallen","26.1879359","-98.2271509","501 W Expressway 83","Mcallen","TX","78503","Hidalgo","956-971-0213","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/texas/mcallen/mcallen","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/501+W+Expressway+83,+Mcallen,+TX,+78503,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1705","Chili's Louisville","38.311135","-85.572426","9720 Von Allmen Court Suite A","Louisville","KY","40241","Jefferson","502-301-8880","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 22:00 | saturday:- 11:00 - 22:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/kentucky/louisville/old-brownsboro-cross","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/9720+Von+Allmen+Court+Suite+A,+Louisville,+KY,+40241,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1761","Chili's Rockford","42.268113","-88.99349","6330 E State St","Rockford","IL","61108","Winnebago","815-227-0188","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/illinois/rockford/rockford","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/6330+E+State+St,+Rockford,+IL,+61108,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1375","Chili's Moore","35.3193053","-97.4967874","630 Sw 19th Street","Moore","OK","73160","Cleveland","405-793-8700","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 24:00 | saturday:- 10:45 - 24:00 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/oklahoma/moore/moore","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/630+Sw+19th+Street,+Moore,+OK,+73160,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1449","Chili's Diamond Bar","34.0061091","-117.821928","707 Grand Avenue","Diamond Bar","CA","91765","Los Angeles","909-396-1222","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/california/diamond-bar/diamond-bar","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/707+Grand+Avenue,+Diamond+Bar,+CA,+91765,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1527","Chili's Niagara Falls","43.0947404","-78.9731597","1536 Military Road","Niagara Falls","NY","14304","Niagara","716-297-7326","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/new-york/niagara-falls/niagara-falls","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1536+Military+Road,+Niagara+Falls,+NY,+14304,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1687","Chili's Willis","30.424472","-95.491831","12700 N Ih 45","Willis","TX","77378","Montgomery","936-391-8460","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/texas/willis/willis","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/12700+N+Ih+45,+Willis,+TX,+77378,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"701.053.0003","Chili's Honolulu","21.278145","-157.785928","4211 Waialae Ave","Honolulu","HI","96816","Honolulu","808-738-5773","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/hawaii/honolulu/kahala-mall-pacific-meritage","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/4211+Waialae+Ave,+Honolulu,+HI,+96816,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0043","Chili's Memphis","35.115805","-89.9089999","4609 Poplar","Memphis","TN","38117","Shelby","901-685-2257","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 22:00 | saturday:- 11:00 - 22:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/tennessee/memphis/memphis","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/4609+Poplar,+Memphis,+TN,+38117,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1809","Chili's Sioux Falls","43.515457","-96.772794","3720 W 41st Street","Sioux Falls","SD","57106","Minnehaha","605-361-3900","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/south-dakota/sioux-falls/sioux-falls","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/3720+W+41st+Street,+Sioux+Falls,+SD,+57106,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0790","Chili's Hiram","33.8877207","-84.7450549","5100 Jimmy Lee Smith Parkway","Hiram","GA","30141","Paulding","770-943-6965","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/georgia/hiram/hiram","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/5100+Jimmy+Lee+Smith+Parkway,+Hiram,+GA,+30141,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1131","Chili's Plano","33.045679","-96.701134","3601 N Central Expy","Plano","TX","75023","Collin","972-881-9100","monday:- 10:45 - 23:00 | tuesday:- 10:45 - 23:00 | wednesday:- 10:45 - 23:00 | thursday:- 10:45 - 23:00 | friday:- 10:45 - 24:00 | saturday:- 10:45 - 24:00 | sunday:- 10:45 - 23:00","https://www.chilis.com/locations/us/texas/plano/plano","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/3601+N+Central+Expy,+Plano,+TX,+75023,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0219","Chili's Phoenix","33.6027156","-111.9792557","12660 N Tatum","Phoenix","AZ","85032","Maricopa","602-494-1330","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/arizona/phoenix/paradise-valley","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/12660+N+Tatum,+Phoenix,+AZ,+85032,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1040","Chili's Pueblo","38.331949","-104.619458","5600 N Elizabeth St","Pueblo","CO","81008","Pueblo","719-542-3945","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/colorado/pueblo/north-pueblo","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/5600+N+Elizabeth+St,+Pueblo,+CO,+81008,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1576","Chili's Dundalk","39.2689048","-76.5046235","1734 Merritt Blvd","Dundalk","MD","21222","Baltimore","410-282-0941","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/maryland/dundalk/merritt-park","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1734+Merritt+Blvd,+Dundalk,+MD,+21222,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1813","Chili's Rapid City","44.105825","-103.222764","2125 Haines Avenue","Rapid City","SD","57701","Pennington","605-388-8100","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/south-dakota/rapid-city/rapid-city","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2125+Haines+Avenue,+Rapid+City,+SD,+57701,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0906","Chili's Fayetteville","36.115481","-94.1464549","772 E Millsap St","Fayetteville","AR","72703","Washington","479-521-9921","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 23:00 | saturday:- 10:45 - 23:00 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/arkansas/fayetteville/fayetteville","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/772+E+Millsap+St,+Fayetteville,+AR,+72703,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0184","Chili's Charlotte","35.0880278","-80.859157","8302 Pineville-Matthews Rd","Charlotte","NC","28226","Mecklenburg","704-543-6265","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/north-carolina/charlotte/pineville","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/8302+Pineville-Matthews+Rd,+Charlotte,+NC,+28226,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1342","Chili's Mount Dora","28.8217881","-81.6683937","17419 Us Hwy 441","Mount Dora","FL","32757","Lake","352-589-4002","monday:- 10:45 - 23:00 | tuesday:- 10:45 - 23:00 | wednesday:- 10:45 - 23:00 | thursday:- 10:45 - 23:00 | friday:- 10:45 - 24:00 | saturday:- 10:45 - 24:00 | sunday:- 10:45 - 23:00","https://www.chilis.com/locations/us/florida/mount-dora/mount-dora","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/17419+Us+Hwy+441,+Mount+Dora,+FL,+32757,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
