"Store No.","Name","Latitude","Longitude","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Updated Date","Country","Status","Direction URL","NAICS 1","NAICS 2","SIC 1","SIC 2"
"001.025.0200","Cumberland Mall","33.881876","-84.467598","1601 Cumberland Mall Se Suite 200","Atlanta","GA","30339","Cobb","770-799-1580","sunday :- 11:00 - 21:30 | monday :- 11:00 - 21:30 | tuesday :- 11:00 - 21:30 | wednesday :- 11:00 - 21:30 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 22:30 | saturday :- 11:00 - 22:30","https://locations.maggianos.com/locations/Georgia/Atlanta/1601-cumberland-mall-se","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/1601+Cumberland+Mall+Se+Suite+200,+Atlanta,+GA,+30339,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0105","Denver Pavilions","39.7438","-104.9906","500 16th St Ste 150","Denver","CO","80202","Denver","303-260-7707","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Colorado/Denver/500-16th-st.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/500+16th+St+Ste+150,+Denver,+CO,+80202,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0081","South Coast Plaza","33.6901","-117.885599","3333 Bristol St","Costa Mesa","CA","92626","Orange","714-546-9550","sunday :- 11:00 - 22:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/California/Costa Mesa/3333-bristol-st.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/3333+Bristol+St,+Costa+Mesa,+CA,+92626,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0184","The Shops At Willow Bend","33.027999","-96.829698","6001 W Park Blvd","Plano","TX","75093","Collin","972-781-0776","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Texas/Plano/6001-west-park-blvd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/6001+W+Park+Blvd,+Plano,+TX,+75093,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0178","King Of Prussia Mall","40.086248","-75.396223","160 N Gulph Road Suite 205","King Of Prussia","PA","19406","Montgomery","610-992-3333","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Pennsylvania/King of Prussia/205-mall-blvd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/160+N+Gulph+Road+Suite+205,+King+Of+Prussia,+PA,+19406,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0181","The Streets At Southpoint Mall","35.902625","-78.944165","8030 Renaissance Pkwy Suite 890","Durham","NC","27713","Durham","919-572-0070","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 21:00 | wednesday :- 11:00 - 21:00 | thursday :- 11:00 - 21:00 | friday :- 11:00 - 22:00 | saturday :- 11:00 - 22:00","https://locations.maggianos.com/locations/North Carolina/Durham/8030-renaissance-pkwy.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/8030+Renaissance+Pkwy+Suite+890,+Durham,+NC,+27713,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0201","Cherry Hill Mall","39.93887","-75.025229","2000 Route 38 Ste 1180","Cherry Hill","NJ","08002","Camden","856-792-4470","sunday :- 11:30 - 21:00 | monday :- 11:30 - 21:00 | tuesday :- 11:30 - 22:00 | wednesday :- 11:30 - 22:00 | thursday :- 11:30 - 22:00 | friday :- 11:30 - 23:00 | saturday :- 11:30 - 23:00","https://locations.maggianos.com/locations/New Jersey/Cherry Hill/2000-route-38","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/2000+Route+38+Ste+1180,+Cherry+Hill,+NJ,+08002,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0052","Oakbrook Shopping Center","41.851919","-87.955933","240 Oakbrook Ctr2","Oak Brook","IL","60523","DuPage","630-368-0300","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Illinois/Oak Brook/240-oakbrook-ctr.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/240+Oakbrook+Ctr2,+Oak+Brook,+IL,+60523,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0077","The Streets Of Woodfield","42.043","-88.032899","1901 E Woodfield Rd","Schaumburg","IL","60173","Cook","847-240-5600","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Illinois/Schaumburg/1901-e.-woodfield-rd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/1901+E+Woodfield+Rd,+Schaumburg,+IL,+60173,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0213","Hawthorn Center","42.242155","-87.950909","307 Hawthorn Center","Vernon Hills","IL","60061","Lake","847-918-0380","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 21:00 | wednesday :- 11:00 - 21:00 | thursday :- 11:00 - 21:00 | friday :- 11:00 - 22:00 | saturday :- 11:00 - 22:00","https://locations.maggianos.com/locations/Illinois/Vernon Hills/307-hawthorn-center","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/307+Hawthorn+Center,+Vernon+Hills,+IL,+60061,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0192","Kenwood Towne Centre","39.203713","-84.377293","7875 Montgomery Rd","Cincinnati","OH","45236","Hamilton","513-794-0670","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Ohio/Cincinnati/7875-montgomery-rd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/7875+Montgomery+Rd,+Cincinnati,+OH,+45236,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"760.873.0001","Dallas Love Field","32.84","-96.85","8008 Herb Kelleher Way","Dallas","TX","75235","Dallas","","sunday :- 10:00 - 18:00 | monday :- 10:00 - 18:00 | tuesday :- 10:00 - 18:00 | wednesday :- 10:00 - 18:00 | thursday :- 10:00 - 18:00 | friday :- 10:00 - 18:00 | saturday :- 10:00 - 18:00","https://locations.maggianos.com/locations/Texas/Dallas/8008-herb-kelleher-way","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/8008+Herb+Kelleher+Way,+Dallas,+TX,+75235,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0198","Commons Mall","40.5889","-74.619599","600 Commons Way Bldg E","Bridgewater","NJ","08807","Somerset","908-547-6045","sunday :- 11:30 - 20:30 | monday :- 11:30 - 20:30 | tuesday :- 11:30 - 21:30 | wednesday :- 11:30 - 21:30 | thursday :- 11:30 - 21:30 | friday :- 11:30 - 22:30 | saturday :- 11:00 - 22:30","https://locations.maggianos.com/locations/New Jersey/Bridgewater/600-commons-way","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/600+Commons+Way+Bldg+E,+Bridgewater,+NJ,+08807,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0191","Big Beaver Rd","42.561479","-83.175178","2089 West Big Beaver Rd","Troy","MI","48084","Oakland","248-205-1060","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Michigan/Troy/2089-west-big-beaver-rd","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/2089+West+Big+Beaver+Rd,+Troy,+MI,+48084,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0194","St. Johns Town Center","30.25799","-81.525689","10367 Midtown Pkwy St Johns Town Center","Jacksonville","FL","32246","Duval","904-380-4360","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Florida/Jacksonville/10367-midtown-pkwy","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/10367+Midtown+Pkwy+St+Johns+Town+Center,+Jacksonville,+FL,+32246,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0193","Fashion Show Mall","36.1255","-115.169299","3200 Las Vegas Blvd S Ste 2144","Las Vegas","NV","89109","Clark","702-732-2550","sunday :- 11:00 - 23:00 | monday :- 11:00 - 23:00 | tuesday :- 11:00 - 23:00 | wednesday :- 11:00 - 23:00 | thursday :- 11:00 - 23:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Nevada/Las Vegas/3200-las-vegas-blvd-south","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/3200+Las+Vegas+Blvd+S+Ste+2144,+Las+Vegas,+NV,+89109,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0214","The Mall In Columbia","39.215613","-76.86118","10300 Little Patuxent Pkwy Suite 3160","Columbia","MD","21044","Howard","410-730-3706","sunday :- 11:00 - 21:00 | monday :- 11:30 - 22:00 | tuesday :- 11:30 - 22:00 | wednesday :- 11:30 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:30 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Maryland/Columbia/10300-little-patuxent-parkway","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/10300+Little+Patuxent+Pkwy+Suite+3160,+Columbia,+MD,+21044,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0071","Tysons Galleria","38.922916","-77.226281","2001 International Dr","Mclean","VA","22102","Fairfax","703-356-9000","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Virginia/McLean/2001-international-dr.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/2001+International+Dr,+Mclean,+VA,+22102,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0059","Westfield Old Orchard Mall","42.0623","-87.751399","4999 Old Orchard Ctr Ste A28","Skokie","IL","60077","Cook","847-933-9555","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Illinois/Skokie/4999-old-orchard-shopping-ctr.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/4999+Old+Orchard+Ctr+Ste+A28,+Skokie,+IL,+60077,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0182","Promenade","33.634642","-111.925399","16405 N Scottsdale Rd","Scottsdale","AZ","85254","Maricopa","480-333-4100","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 21:00 | wednesday :- 11:00 - 21:00 | thursday :- 11:00 - 21:00 | friday :- 11:00 - 22:00 | saturday :- 11:00 - 22:00","https://locations.maggianos.com/locations/Arizona/Scottsdale/16405-n.-scottsdale-rd","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/16405+N+Scottsdale+Rd,+Scottsdale,+AZ,+85254,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0218","Garden City","40.735337","-73.615662","600 Garden City Plaza","Garden City","NY","11530","Nassau","516-877-9640","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/New York/Garden City/600-garden-city-plaza","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/600+Garden+City+Plaza,+Garden+City,+NY,+11530,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0206","Baybrook","29.546039","-95.149326","700 Baybrook Mall Dr - G120","Friendswood","TX","77546","Galveston","281-282-9729","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 21:00 | wednesday :- 11:00 - 21:00 | thursday :- 11:00 - 21:00 | friday :- 11:00 - 22:00 | saturday :- 11:00 - 22:00","https://locations.maggianos.com/locations/Texas/Friendswood/700-baybrook-mall","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/700+Baybrook+Mall+Dr+-+G120,+Friendswood,+TX,+77546,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0199","Pointe Orlando","28.4334","-81.471699","9101 International Dr Ste 2400","Orlando","FL","32819","Orange","407-241-8650","sunday :- 11:00 - 22:00 | monday :- 11:30 - 22:00 | tuesday :- 11:30 - 22:00 | wednesday :- 11:30 - 22:00 | thursday :- 11:30 - 22:00 | friday :- 11:30 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Florida/Orlando/9101-international-dr.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/9101+International+Dr+Ste+2400,+Orlando,+FL,+32819,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0225","Overland Park","38.883238","-94.666864","7025 W 135th St","Overland Park","KS","66223","Johnson","913-897-8020","sunday :- 11:00 - 21:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 21:00 | wednesday :- 11:00 - 21:00 | thursday :- 11:00 - 21:00 | friday :- 11:00 - 22:00 | saturday :- 11:00 - 22:00","https://locations.maggianos.com/locations/Kansas/Overland Park/7025-w.-135th-street","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/7025+W+135th+St,+Overland+Park,+KS,+66223,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0107","Northpark Center","32.86599","-96.7717","205 Northpark Center","Dallas","TX","75225","Dallas","214-360-0707","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Texas/Dallas/205-northpark-center","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/205+Northpark+Center,+Dallas,+TX,+75225,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
